index,n,name,place_id,,
125,"鹼粥,　台南人,　習慣,　早餐,　台南人,　阿堂,　鹼粥,",阿憨鹹粥,ChIJ1_N-XPV2bjQReZQ0UpjNZv8,,
126,"鷹嘴,　豆泥,　漢堡,　咖啡,　奶茶,　水準,　負擔,",阿烏咖啡,ChIJ5xh7YIZ2bjQRWBdzm1oGw2M,,
27814,"靈魂,　老饕,　們,　保安,　米糕,",保安路米糕,ChIJKXEHGnt2bjQRoVIIZZ3UzPQ,,
151,"罐頭,　肉燥飯,　罐頭,　擔仔麵,",度小月擔仔麵,ChIJq6YxAXl3bjQRwLlKGZmuKik,,
5440,"囍餅,　麵包,",明新食品,ChIJpxAlyL12bjQRIMxqqQDuEVU,,
5420,"囍餅,　茶點,",舊永瑞珍喜餅,ChIJ2VORzmN2bjQR1Y2R3dxys8U,,
14402,"鱔魚麵,　鱔魚,　羹,　麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
152,"鱔魚麵,　藥膳,　清湯,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
19190,"鱔魚麵,　魷魚,　花枝,　味道,　價錢,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
28669,"鱔魚麵,　價格,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
159,"鱔魚麵,　棺材板,　蛋包飯,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
153,"鱔魚麵,　棺材板,　原味,　咖哩,　口味,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
30945,"鱔魚麵,　桌,　藥品,　帥哥,　牛肉湯,",潘家牛肉湯,ChIJRSbwG2R2bjQRHdo7OqS6tOU,,
155,"鱔魚麵,　味道,　洋蔥,　香,　鴨肉羹,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
158,"鱔魚麵,　口感,　料理,　種類,　客人,　需求,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
156,"鱔魚麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
157,"鱔魚麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
20630,"鱔魚麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
6480,"鱔魚麵,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
20671,"鱔魚麵,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
22888,"鱔魚麵,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
160,"鱔魚羹,　口味,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
195,"鱔魚量,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
198,"鱔魚骨,　藥膳湯,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
40223,"鱔魚,　鱔魚,　意麵,　花枝,　意麵,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
40786,"鱔魚,　鱔魚,　口味,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
20689,"鱔魚,　鑊氣,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
20672,"鱔魚,　鑊氣,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
226,"鱔魚,　麵,　整體,",華興鱔魚意麵,ChIJIdWByft2bjQRjrdk5AjS2BM,,
161,"鱔魚,　麵,　價格,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
14401,"鱔魚,　麵,　碗 ,　口味,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
14400,"鱔魚,　麵,　口味,　深度,　鱔魚,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
154,"鱔魚,　麵,",赤崁棺材板,ChIJ9X1wvmR2bjQRsqhUCAqPWhI,,
14403,"鱔魚,　麵,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
28024,"鱔魚,　麵,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
14432,"鱔魚,　羹類,　朋友,　選擇,　意麵,　軟硬,　鱔魚,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
33901,"鱔魚,　醬汁,　意麵,　麵體,　意麵,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
15108,"鱔魚,　醬汁,",阿銘鱔魚意麵,ChIJ_wowbe92bjQRtKCMgEY85Kc,,
1367,"鱔魚,　鍋氣,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
14404,"鱔魚,　餐點,",阿輝炒鱔魚,ChIJr52tQGF2bjQR6s6o9VFFRsE,,
