,0
648,作法
649,"肉圓,"
650,nan
651,人
652,香腸
653,熟
654,"肉,"
655,nan
656,"阿嬤,"
657,在地人
658,豆花
659,價位
660,"豆花,"
661,"緣分,"
662,木瓜
663,"牛奶,"
664,"可麗餅,"
665,花生粉
666,"吃法,"
667,nan
668,炒飯
669,一絕
670,炒
671,"介藍,"
672,牛肉
673,燥
674,飯
675,"飯,"
676,"碗粿,"
677,哈蜜瓜
678,冰淇淋
679,"球,"
680,皇
681,"東西,"
682,nan
683,"朋友,"
684,店員
685,銀
686,"代,"
687,"讚美,"
688,老闆
689,客人
690,"鱔魚,"
691,朋友
692,紅豆湯
693,土豆仁
694,湯
695,"隱藏版,"
696,老闆娘
697,原味
698,"米酒,"
699,牛肉湯
700,牛腩湯
701,熱
702,時間
703,"殘念,"
704,朋友
705,"巷弄,"
706,"朋友,"
707,nan
708,nan
709,"下午茶,"
710,nan
711,攤位
712,料
713,視覺
714,"效果,"
715,攤位
716,價目表
717,分類
718,便當
719,湯類
720,整體
721,餐點
722,售價
723,"價位,"
724,攤子
725,瘦肉
726,蔬菜
727,"小菜,"
728,"魔棒,"
729,老闆娘
730,人
731,"牛肉,"
732,"滷肉飯,"
733,海鮮
734,海鮮
735,肉品
736,"價位,"
737,nan
738,"酒,"
739,"東西,"
740,nan
741,鐵蛋
742,滷麵
743,"豆干,"
744,鐵蛋
745,"豆干,"
746,"鐵蛋,"
747,鐵蛋
748,魯麵
749,味道
750,"人,"
751,"鐵蛋,"
752,鐵蛋
753,"滷蛋,"
754,鐵板麵
755,蘑菇醬
756,蘑菇醬
757,濃湯
758,優點
759,"份量,"
760,鐵板
761,牛排
762,"沙拉吧,"
763,"地方,"
764,nan
765,nan
766,nan
767,nan
768,nan
769,nan
770,nan
771,"肉圓,"
772,肉圓
773,口感
774,嚼勁
775,"特色,"
776,試
777,味道
778,包子
779,"價格,"
780,肉圓
781,"柴魚湯,"
782,湯水
783,"稀飯,"
784,自然
785,"類型,"
786,"紅茶,"
787,現象
788,滷肉飯
789,肥肉
790,"朋友,"
791,古早味
792,米糕
793,肉燥
794,口味
795,份量
796,"湯,"
797,"豆花,"
798,麵體
799,嚼勁
800,整體
801,餐具
802,消毒櫃
803,"人,"
804,麵類
805,"麵,"
806,麵類
807,滷味
808,東西
809,"點,"
810,"麵類,"
811,麵類
812,"豬腳,"
813,麵類
814,清湯
815,羹湯
816,"小菜,"
817,麵
818,"雞排,"
819,麵
820,肉燥
821,"青菜,"
822,"麵,"
823,麵質
824,"食味,"
825,麵
826,"整體,"
827,麵線
828,鴨肉
829,柴
830,平價
831,"整體,"
832,"麵線,"
833,"麵線,"
834,"麵線,"
835,麵
836,"羹,"
837,麵
838,滷菜
839,老闆娘
840,鳳梨
841,桌椅
842,高度
843,"酒,"
844,麵
845,"滷味,"
846,麵
847,"飯,"
